,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,8,25189,3,85656,3.0,144912.0,2.0,200488.0,2.0,265127.0,2.0,273583.0,2.0,296434.0,1.0,446526.0,1.0,506482.0,1.0,566600.0
1,8,1939,0,0,0,0,0,0,,,,,,,,,,,,
2,2,2531,1,13609,0,0,0,0,,,,,,,,,,,,
3,1,2084,1,1168,0,20590,0,64971,,,,,,,,,,,,
4,1,10106,1,2707,0,3592,0,0,,,,,,,,,,,,
5,1,6961,1,1606,0,0,0,0,,,,,,,,,,,,
6,0,0,1,18990,0,0,0,0,,,,,,,,,,,,
7,0,19314,0,63742,0,100000,0,100000,,,,,,,,,,,,
8,0,2532,0,379,0,0,0,0,,,,,,,,,,,,
9,0,32746,0,0,0,0,0,0,,,,,,,,,,,,
10,0,1646,0,0,0,0,0,0,,,,,,,,,,,,
