,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,0,19800,0,67217,0,111280,0,157616,0,198803,0,247418,0,289921,0,338470,0,380497,0,425020
1,0,5230,0,7546,0,4118,0,4118,0,7202,0,5229,0,5230,0,4117,0,5230,0,7546
2,0,5392,0,6124,0,1692,0,1692,0,5492,0,5392,0,5392,0,1692,0,5248,0,7278
3,0,9163,0,5857,0,3154,0,3154,0,6105,0,9163,0,8160,0,3154,0,7916,0,7092
4,0,1254,0,8845,0,3391,0,3391,0,7671,0,1253,0,1254,0,3391,0,1255,0,7638
5,0,8757,0,1314,0,1122,0,1122,0,3330,0,8763,0,8754,0,1122,0,7882,0,1275
6,0,3177,0,1997,0,6329,0,5233,0,7382,0,3177,0,3177,0,6329,0,3915,0,1997
7,0,3365,0,7115,0,3258,0,4343,0,2242,0,3365,0,3365,0,3258,0,3365,0,6129
8,0,1007,0,1138,0,7385,0,7516,0,2434,0,1007,0,1007,0,7385,0,1007,0,1158
9,0,5155,0,5661,0,2242,0,2242,0,5232,0,5155,0,5155,0,2242,0,5155,0,5656
10,0,658,0,658,0,2434,0,2434,0,3348,0,658,0,658,0,2434,0,658,0,658
11,0,5221,0,5220,0,5086,0,5232,0,2835,0,5221,0,5221,0,5232,0,5221,0,5220
12,0,2141,0,2141,0,3345,0,3348,0,4098,0,2141,0,2141,0,3348,0,2141,0,2141
13,0,1138,0,1138,0,2835,0,2835,0,2009,0,1138,0,1138,0,2835,0,1138,0,1138
14,0,4858,0,3671,0,4098,0,4098,0,2640,0,4858,0,4557,0,4098,0,16907,0,4858
15,0,1547,0,2207,0,2009,0,2009,0,6640,0,1547,0,1547,0,2009,0,408,0,1547
16,0,4404,0,4440,0,2640,0,2640,0,2724,0,4404,0,4404,0,2640,0,7337,0,4404
17,0,3153,0,3070,0,6640,0,6808,0,2494,0,2975,0,2984,0,6640,0,4462,0,3153
18,0,3748,0,3757,0,2724,0,2724,0,2087,0,3766,0,3765,0,2724,0,3323,0,3748
19,0,3980,0,3980,0,2494,0,2494,0,4146,0,3980,0,3980,0,2494,0,1096,0,4235
20,0,1551,0,1551,0,2087,0,2088,0,3564,0,1551,0,1552,0,2087,0,816,0,1551
21,0,3130,0,3130,0,4146,0,4146,0,2140,0,3130,0,3130,0,3944,0,5638,0,3130
22,0,5081,0,5082,0,3564,0,3564,0,3423,0,5081,0,5082,0,3560,0,2495,0,5082
23,0,1441,0,1441,0,2140,0,2140,0,1834,0,1441,0,1441,0,2140,0,1203,0,1441
24,0,3553,0,3497,0,3423,0,3423,0,1454,0,3553,0,3553,0,3423,0,3495,0,3553
25,0,3433,0,3432,0,1834,0,1834,0,2836,0,3433,0,3432,0,1834,0,4596,0,3433
26,0,2520,0,2520,0,1454,0,1454,0,1966,0,2520,0,2520,0,1454,0,1926,0,2520
27,0,1203,0,1203,0,2836,0,2836,0,1658,0,1203,0,1204,0,2836,0,3953,0,1203
28,0,3495,0,3495,0,1967,0,1966,0,1430,0,3495,0,3495,0,1966,0,2644,0,3495
29,0,4596,0,4596,0,1658,0,1658,0,1883,0,4596,0,4596,0,1658,0,14547,0,4596
30,0,1927,0,1924,0,1430,0,1430,0,10131,0,1925,0,1926,0,1430,0,1913,0,1926
31,0,3963,0,3960,0,1883,0,1883,0,4511,0,3955,0,3963,0,1883,0,2128,0,3963
32,0,2644,0,2644,0,10800,0,10800,0,3790,0,2644,0,2645,0,10800,0,5169,0,2644
33,0,12306,0,14447,0,3829,0,3829,0,12399,0,14119,0,12596,0,3828,0,1133,0,12306
34,0,1913,0,1916,0,3791,0,3791,0,3419,0,1913,0,1913,0,3791,0,2632,0,1913
35,0,2128,0,2128,0,12399,0,11574,0,2953,0,2128,0,2128,0,9148,0,1882,0,2128
36,0,5169,0,5267,0,3419,0,3419,0,1729,0,5169,0,5169,0,3419,0,5818,0,5169
37,0,1133,0,1133,0,2953,0,2953,0,3076,0,1133,0,1133,0,2953,0,3068,0,1133
38,0,2632,0,2893,0,1729,0,1729,0,3247,0,2632,0,2632,0,1729,0,3188,0,2632
39,0,1882,0,1882,0,3076,0,3076,0,1181,0,1882,0,1882,0,3076,0,1273,0,1882
40,0,5818,0,5819,0,3247,0,3247,0,4176,0,6122,0,5818,0,2753,0,6094,0,5818
41,0,3068,0,3068,0,1181,0,1181,0,2725,0,3068,0,3068,0,1181,0,3034,0,3068
42,0,3188,0,3188,0,4167,0,4176,0,1106,0,3188,0,3188,0,4173,0,2926,0,3188
43,0,1273,0,1273,0,2725,0,2725,0,3761,0,1273,0,1273,0,2725,0,2582,0,1273
44,0,6093,0,6093,0,1106,0,1106,0,2873,0,6094,0,6094,0,1106,0,3741,0,6094
45,0,3034,0,3034,0,3761,0,3761,0,3240,0,3034,0,3034,0,3761,0,5279,0,3034
46,0,2926,0,2926,0,2873,0,2873,0,3669,0,2926,0,2926,0,2873,0,2994,0,2926
47,0,2582,0,2582,0,3212,0,3212,0,2975,0,2582,0,2582,0,3211,0,332,0,2582
48,0,3741,0,3741,0,3669,0,3669,0,375,0,3741,0,3741,0,3669,0,5090,0,3741
49,0,5279,0,5279,0,2975,0,2975,0,5599,0,5279,0,5357,0,2976,0,9645,0,5279
50,0,2994,0,2994,0,375,0,375,0,4768,0,2994,0,2994,0,375,0,5382,0,2994
51,0,332,0,332,0,5599,0,6222,0,1420,0,332,0,332,0,5599,0,1807,0,332
52,0,5090,0,5090,0,4768,0,4769,0,4756,0,5090,0,5090,0,4768,0,4857,0,5090
53,0,9645,0,9645,0,1420,0,1420,0,7085,0,9645,0,9645,0,1420,0,3571,0,9645
54,0,5383,0,5383,0,4755,0,4755,0,7104,0,5383,0,5382,0,4348,0,2068,0,5217
55,0,1807,0,1807,0,7085,0,6493,0,5477,0,1807,0,1807,0,7086,0,2654,0,1807
56,0,5888,0,5198,0,7103,0,7695,0,1590,0,5732,0,5888,0,6881,0,2662,0,5888
57,0,3592,0,3578,0,5477,0,5478,0,5252,0,3589,0,3592,0,5472,0,2267,0,3592
58,0,2068,0,7202,0,1590,0,1590,0,2975,0,2068,0,2068,0,1590,0,5349,0,2068
59,0,2654,0,2267,0,5252,0,5603,0,3432,0,2654,0,2654,0,5252,0,2593,0,2654
60,0,2662,0,5349,0,2975,0,2975,0,24,0,2662,0,2662,0,2975,0,3520,0,2662
61,0,2267,0,2593,0,3432,0,3432,0,2613,0,2267,0,2267,0,3432,0,3375,0,2267
62,0,5349,0,3521,0,24,0,24,0,2462,0,5349,0,5349,0,24,0,1606,0,5348
63,0,2593,0,3375,0,2613,0,2613,0,4322,0,2593,0,2593,0,2613,0,5686,0,2593
64,0,3521,0,1606,0,2462,0,2462,0,767,0,3520,0,3521,0,2462,0,2339,0,3521
65,0,3375,0,5686,0,4322,0,4322,0,4213,0,3375,0,3375,0,4323,0,1411,0,3375
66,0,1606,0,2339,0,767,0,767,0,1106,0,1606,0,1606,0,767,0,2619,0,1606
67,0,5687,0,1411,0,4212,0,4212,0,7003,0,5686,0,5686,0,4213,0,4739,0,5958
68,0,2339,0,2619,0,1106,0,1106,0,3504,0,2339,0,2339,0,1106,0,4870,0,2339
69,0,1411,0,4739,0,7003,0,7003,0,1652,0,1411,0,1411,0,7003,0,10823,0,1411
70,0,2619,0,4869,0,3504,0,3504,0,336,0,2619,0,2619,0,3504,0,4013,0,2619
71,0,4739,0,4898,0,1652,0,1652,0,2954,0,4816,0,4739,0,1652,0,3090,0,4739
72,0,4870,0,2466,0,336,0,336,0,4721,0,5322,0,4869,0,336,0,3245,0,4869
73,0,4898,0,2555,0,2954,0,2954,0,3101,0,5159,0,4898,0,2954,0,948,0,4898
74,0,2466,0,5009,0,4722,0,4722,0,2307,0,2466,0,2466,0,4722,0,3933,0,2466
75,0,2555,0,1115,0,3101,0,3101,0,450,0,2555,0,2555,0,3101,0,2647,0,2555
76,0,5009,0,1533,0,2307,0,2307,0,3230,0,5009,0,5009,0,2307,0,6090,0,5009
77,0,1115,0,480,0,450,0,450,0,3124,0,1115,0,1115,0,450,0,5534,0,1115
78,0,1533,0,4510,0,3511,0,3511,0,3678,0,1533,0,1533,0,3511,0,3001,0,1533
79,0,480,0,4212,0,3124,0,3124,0,2926,0,480,0,480,0,3071,0,865,0,480
80,0,4510,0,3489,0,3678,0,3678,0,910,0,4510,0,4510,0,3681,0,4127,0,4510
81,0,4211,0,3516,0,2926,0,2926,0,3932,0,4212,0,4212,0,2926,0,0,0,0
82,0,3489,0,1495,0,910,0,910,0,2647,0,3489,0,3489,0,910,0,0,0,0
83,0,3516,0,3174,0,3932,0,3933,0,6090,0,3516,0,3516,0,3932,0,0,0,0
84,0,1495,0,4054,0,2647,0,2647,0,4803,0,1495,0,1495,0,2647,0,0,0,0
85,0,3174,0,3265,0,6090,0,6083,0,3027,0,3174,0,3174,0,6327,0,0,0,0
86,0,4054,0,3978,0,4803,0,4802,0,865,0,4054,0,4054,0,4804,0,0,0,0
87,0,3265,0,4368,0,3027,0,3028,0,5024,0,3265,0,3265,0,3026,0,0,0,0
88,0,3979,0,9074,0,865,0,865,0,2054,0,3978,0,3978,0,865,0,0,0,0
89,0,4382,0,3807,0,5025,0,5024,0,1694,0,4330,0,4382,0,5024,0,0,0,0
90,0,9075,0,2230,0,2054,0,2054,0,6824,0,9074,0,9075,0,2054,0,0,0,0
91,0,3960,0,4528,0,1694,0,1694,0,3899,0,3959,0,3810,0,1694,0,0,0,0
92,0,2229,0,1422,0,6824,0,6824,0,4930,0,2229,0,2230,0,6824,0,0,0,0
93,0,4528,0,5303,0,3898,0,3897,0,4072,0,5068,0,4528,0,3897,0,0,0,0
94,0,1422,0,1807,0,4930,0,4929,0,627,0,1420,0,1422,0,4930,0,0,0,0
95,0,5303,0,6560,0,4072,0,3405,0,3934,0,5301,0,5723,0,0,0,0,0,0
96,0,1790,0,3747,0,627,0,633,0,2327,0,1790,0,1789,0,0,0,0,0,0
97,0,6560,0,2584,0,3934,0,3934,0,1281,0,6559,0,6559,0,0,0,0,0,0
98,0,3747,0,2678,0,2326,0,2327,0,3648,0,3747,0,3747,0,0,0,0,0,0
99,0,2584,0,1357,0,1281,0,1281,0,599,0,2584,0,2584,0,0,0,0,0,0
100,0,2678,0,898,0,3647,0,3648,0,2440,0,2678,0,0,0,0,0,0,0,0
101,0,1357,0,2950,0,599,0,599,0,151,0,1357,0,0,0,0,0,0,0,0
102,0,898,0,7498,0,2440,0,2440,0,2166,0,897,0,0,0,0,0,0,0,0
103,0,2950,0,5198,0,151,0,151,0,3749,0,2950,0,0,0,0,0,0,0,0
104,0,7498,0,2976,0,2166,0,2165,0,191,0,7498,0,0,0,0,0,0,0,0
105,0,5198,0,3032,0,3749,0,3749,0,3627,0,5198,0,0,0,0,0,0,0,0
106,0,2976,0,5295,0,191,0,191,0,2919,0,2976,0,0,0,0,0,0,0,0
107,0,3032,0,2682,0,3627,0,3627,0,1249,0,3032,0,0,0,0,0,0,0,0
108,0,5295,0,5015,0,2919,0,2919,0,512,0,1803,0,0,0,0,0,0,0,0
109,0,2683,0,1059,0,1249,0,1249,0,6886,0,0,0,0,0,0,0,0,0,0
110,0,5015,0,2615,0,512,0,512,0,7473,0,0,0,0,0,0,0,0,0,0
111,0,1059,0,1564,0,7202,0,7202,0,3001,0,0,0,0,0,0,0,0,0,0
112,0,2615,0,9023,0,7491,0,7487,0,2158,0,0,0,0,0,0,0,0,0,0
113,0,1564,0,8244,0,3001,0,3001,0,1717,0,0,0,0,0,0,0,0,0,0
114,0,11192,0,3483,0,2158,0,2158,0,2735,0,0,0,0,0,0,0,0,0,0
115,0,6042,0,972,0,1717,0,1717,0,0,0,0,0,0,0,0,0,0,0,0
116,0,3172,0,7385,0,2735,0,2735,0,0,0,0,0,0,0,0,0,0,0,0
117,0,972,0,491,0,7202,0,7202,0,0,0,0,0,0,0,0,0,0,0,0
