,1 kills,1 tracking,2 kills,2 tracking,3 kills,3 tracking,4 kills,4 tracking,5 kills,5 tracking,6 kills,6 tracking,7 kills,7 tracking,8 kills,8 tracking,9 kills,9 tracking,10 kills,10 tracking
0,39,18365,15,60494,5,102414,8,145662,3,188348,4,229656,0,272165,0,316423,1,356786,2,399714
1,39,2515,15,4977,5,1202,8,1202,3,445,4,1202,0,7434,0,1984,1,9115,2,1228
2,39,2558,15,1919,5,3926,8,3929,3,3867,4,3921,0,1690,0,15986,1,3201,2,4433
3,39,1874,15,4601,5,4672,8,3560,3,7504,4,4673,0,10065,0,1202,1,13203,2,3573
4,39,1202,15,3595,5,1690,8,9391,3,11718,4,1697,0,8245,0,1272,1,2409,2,11649
5,39,4460,15,1644,5,10315,8,3576,3,1892,4,10715,0,3560,0,9392,1,1643,2,1890
6,39,1202,15,1202,5,8269,8,1644,3,18967,4,13285,0,5605,0,4268,1,1202,2,19620
7,39,6367,15,1716,5,3565,8,1202,3,7320,4,7288,0,1228,0,141,1,1716,2,7186
8,39,2963,15,9654,5,5605,8,1716,3,1226,4,1678,0,1202,0,4907,1,4868,2,1227
9,39,2385,15,1938,5,1627,8,2530,3,1202,4,2151,0,1917,0,1202,1,1202,2,1202
10,39,2105,15,1396,5,2129,8,1202,3,1917,4,5103,0,5046,0,1202,1,1202,2,1917
11,39,5009,15,6612,5,3260,8,1468,3,1202,4,1552,0,1552,0,2081,1,2085,2,1202
12,39,7508,15,1384,5,1642,8,3446,3,1795,4,1202,0,1202,0,2723,1,2714,2,1794
13,39,1202,15,1202,5,1202,8,6303,3,6465,4,587,0,588,0,1872,1,1871,2,6463
14,39,1786,15,1202,5,5374,8,1552,3,1202,4,1756,0,1755,0,1554,1,1553,2,1383
15,39,6464,15,1499,5,6801,8,1202,3,1417,4,8397,0,8398,0,1202,1,1202,2,1202
16,39,1202,15,8466,5,1202,8,588,3,10145,4,1641,0,1579,0,587,1,588,2,1202
17,39,1285,15,1824,5,4164,8,1756,3,1967,4,1202,0,1733,0,1755,1,1756,2,1499
18,39,2557,15,6161,5,1970,8,8398,3,1719,4,1202,0,6139,0,6252,1,6141,2,12511
19,39,1808,15,2104,5,1202,8,1643,3,6135,4,2189,0,2104,0,1459,1,1453,2,1202
20,39,2384,15,1935,5,11964,8,1202,3,2111,4,12029,0,1935,0,1872,1,1872,2,1411
21,39,759,15,1940,5,1202,8,1202,3,1935,4,4177,0,1940,0,2255,1,2255,2,2042
22,39,2892,15,6649,5,2001,8,2189,3,1940,4,4432,0,6649,0,1572,1,1572,2,1356
23,39,2560,15,1202,5,1202,8,2458,3,6648,4,2994,0,1571,0,1202,1,1202,2,1421
24,39,1871,15,1304,5,1385,8,2074,3,1571,4,1720,0,1402,0,2002,1,2001,2,5213
25,39,1202,15,10580,5,1351,8,1935,3,1402,4,5180,0,3871,0,1202,1,1202,2,12169
26,39,1373,15,1202,5,13361,8,1930,3,3905,4,4486,0,17569,0,1385,1,1385,2,1202
27,39,1350,15,1840,5,1202,8,6649,3,15065,4,2793,0,1202,0,1351,1,1351,2,6814
28,39,10943,15,4126,5,1562,8,1571,3,5224,4,1202,0,1787,0,11759,1,11598,2,1814
29,39,1202,15,7894,5,6275,8,1401,3,18551,4,1670,0,8324,0,1202,1,1202,2,6184
30,39,9724,15,1501,5,11710,8,3699,3,1556,4,8913,0,1202,0,9703,1,9657,2,1244
31,39,12730,15,1553,5,1546,8,17552,3,1453,4,1202,0,3089,0,6326,1,13705,2,1220
32,39,1202,15,1560,5,1454,8,1202,3,7675,4,3090,0,2245,0,6237,1,1510,2,1901
33,39,1256,15,11177,5,5606,8,1789,3,1459,4,2245,0,1621,0,1531,1,1453,2,7079
34,39,1031,15,2243,5,1254,8,10713,3,1825,4,1621,0,4755,0,1454,1,6268,2,4675
35,39,1747,15,2419,5,1578,8,1255,3,4996,4,4758,0,1202,0,5606,1,1764,2,1202
36,39,1501,15,3026,5,2163,8,3228,3,1202,4,1202,0,1678,0,1254,1,6711,2,2475
37,39,3159,15,6690,5,4996,8,3034,3,1677,4,1678,0,2901,0,1576,1,3265,2,2558
38,39,1245,15,2589,5,4489,8,15298,3,2902,4,2829,0,1426,0,2303,1,3279,2,1202
39,39,2135,15,1202,5,1202,8,1202,3,1426,4,1424,0,1202,0,3576,1,1303,2,1034
40,39,8316,15,1034,5,1058,8,866,3,1202,4,1202,0,4746,0,4502,1,1724,2,4184
41,39,9804,15,4771,5,5307,8,4754,3,3852,4,3849,0,4744,0,1202,1,1276,2,1407
42,39,1225,15,5998,5,1407,8,4764,3,7491,4,7488,0,15468,0,1053,1,8344,2,1202
43,39,1879,15,16816,5,29014,8,9300,3,3144,4,3121,0,4319,0,4773,1,1202,2,1202
44,39,1530,15,8659,5,1202,8,1202,3,1788,4,1789,0,1790,0,7305,1,5195,2,6013
45,39,1202,15,1666,5,3340,8,7181,3,1202,4,1202,0,14586,0,15107,1,1202,2,1202
46,39,1202,15,2638,5,1510,8,2216,3,1988,4,1988,0,2429,0,5507,1,12977,2,12967
47,39,2262,15,1516,5,2780,8,1216,3,10185,4,10206,0,16873,0,1202,1,6656,2,6656
48,39,1202,15,2585,5,7383,8,8260,3,1202,4,1202,0,10296,0,1999,1,1202,2,1202
49,39,5826,15,8220,5,1202,8,1202,3,1202,4,1202,0,4947,0,10517,1,20010,2,21282
50,39,1202,15,2260,5,1202,8,1202,3,5004,4,5006,0,1919,0,2247,1,1202,2,1202
51,39,12969,15,2267,5,5936,8,3542,3,1588,4,1588,0,1762,0,2266,1,9204,2,11677
52,39,6656,15,1713,5,1586,8,1710,3,2262,4,7718,0,1202,0,1713,1,21605,2,21183
53,39,1202,15,1924,5,2693,8,11703,3,1852,4,15379,0,1889,0,1924,1,1202,2,1746
54,39,19985,15,1202,5,6220,8,9625,3,2036,4,2406,0,1707,0,1202,1,13518,2,1202
55,39,1202,15,1890,5,1202,8,1752,3,1202,4,1841,0,9518,0,1889,1,1807,2,1430
56,39,1626,15,1519,5,6255,8,7976,3,10898,4,1912,0,2203,0,1519,1,7981,2,1419
57,39,1710,15,1936,5,1660,8,1887,3,1202,4,1202,0,2792,0,1202,1,1887,2,4252
58,39,1615,15,1504,5,1287,8,2529,3,1450,4,7477,0,1751,0,10741,1,2530,2,2036
59,39,1595,15,1202,5,2173,8,2021,3,1360,4,3201,0,6540,0,1202,1,2022,2,1474
60,39,1202,15,1438,5,1738,8,7960,3,2573,4,1309,0,1836,0,1432,1,6665,2,6762
61,39,12255,15,1423,5,11932,8,1804,3,1762,4,1535,0,1695,0,1360,1,2726,2,1717
62,39,1813,15,2571,5,1806,8,1483,3,17353,4,6591,0,1912,0,2573,1,1202,2,2093
63,39,9375,15,1762,5,1824,8,1321,3,1202,4,1202,0,1279,0,1762,1,1321,2,2891
64,39,3249,15,17592,5,5589,8,1536,3,1320,4,4624,0,3401,0,16481,1,1535,2,1202
65,39,1501,15,1202,5,2614,8,9212,3,1536,4,3808,0,1798,0,1202,1,6272,2,6932
66,39,1202,15,1321,5,1598,8,1202,3,6180,4,3633,0,12056,0,1321,1,1770,2,1202
67,39,9147,15,1536,5,1483,8,6094,3,1770,4,9130,0,1202,0,1535,1,1640,2,2071
68,39,1853,15,6178,5,693,8,2507,3,1640,4,1202,0,3138,0,9108,1,1741,2,1202
69,39,1796,15,1770,5,1202,8,1673,3,1584,4,1520,0,1202,0,1202,1,1943,2,2088
70,39,8368,15,1640,5,1686,8,1333,3,11061,4,1591,0,2190,0,5877,1,1202,2,1490
71,39,5735,15,1585,5,1333,8,1202,3,3323,4,2155,0,1489,0,3846,1,3549,2,20939
72,39,1202,15,11064,5,2133,8,1202,3,2035,4,1202,0,8950,0,3626,1,1202,2,1532
