Speed_Sub,P_k,Lam_T,Lam_M,Speed_Target,Seed
20,0.09,9,35,23,19
20,0.09,9,35,23,6
20,0.09,9,35,23,18
20,0.09,9,35,23,6
20,0.09,9,35,23,22
20,0.09,9,35,23,7
20,0.09,9,35,23,20
20,0.09,9,35,23,8
20,0.09,9,35,23,10
20,0.09,9,35,23,16
20,0.09,9,35,23,3
20,0.09,9,35,23,29
20,0.09,9,35,23,5
20,0.09,9,35,23,17
20,0.09,9,35,23,1
20,0.09,9,35,23,27
20,0.09,9,35,23,16
20,0.09,9,35,23,12
20,0.09,9,35,23,25
20,0.09,9,35,23,13
20,0.09,9,35,23,25
20,0.09,9,35,23,9
20,0.09,9,35,23,24
20,0.09,9,35,23,11
20,0.09,9,35,23,23
20,0.09,9,35,23,21
20,0.09,9,35,23,15
20,0.09,9,35,23,28
20,0.09,9,35,23,2
20,0.09,9,35,23,26
20,0.09,9,35,23,14
20,0.09,9,35,23,30
20,0.09,9,35,23,4
18,1,3,68,17,19
18,1,3,68,17,6
18,1,3,68,17,18
18,1,3,68,17,6
18,1,3,68,17,22
18,1,3,68,17,7
18,1,3,68,17,20
18,1,3,68,17,8
18,1,3,68,17,10
18,1,3,68,17,16
18,1,3,68,17,3
18,1,3,68,17,29
18,1,3,68,17,5
18,1,3,68,17,17
18,1,3,68,17,1
18,1,3,68,17,27
18,1,3,68,17,16
18,1,3,68,17,12
18,1,3,68,17,25
18,1,3,68,17,13
18,1,3,68,17,25
18,1,3,68,17,9
18,1,3,68,17,24
18,1,3,68,17,11
18,1,3,68,17,23
18,1,3,68,17,21
18,1,3,68,17,15
18,1,3,68,17,28
18,1,3,68,17,2
18,1,3,68,17,26
18,1,3,68,17,14
18,1,3,68,17,30
18,1,3,68,17,4
18,0.44,18,29,10,19
18,0.44,18,29,10,6
18,0.44,18,29,10,18
18,0.44,18,29,10,6
18,0.44,18,29,10,22
18,0.44,18,29,10,7
18,0.44,18,29,10,20
18,0.44,18,29,10,8
18,0.44,18,29,10,10
18,0.44,18,29,10,16
18,0.44,18,29,10,3
18,0.44,18,29,10,29
18,0.44,18,29,10,5
18,0.44,18,29,10,17
18,0.44,18,29,10,1
18,0.44,18,29,10,27
18,0.44,18,29,10,16
18,0.44,18,29,10,12
18,0.44,18,29,10,25
18,0.44,18,29,10,13
18,0.44,18,29,10,25
18,0.44,18,29,10,9
18,0.44,18,29,10,24
18,0.44,18,29,10,11
18,0.44,18,29,10,23
18,0.44,18,29,10,21
18,0.44,18,29,10,15
18,0.44,18,29,10,28
18,0.44,18,29,10,2
18,0.44,18,29,10,26
18,0.44,18,29,10,14
18,0.44,18,29,10,30
18,0.44,18,29,10,4
13,0.88,20,74,24,19
13,0.88,20,74,24,6
13,0.88,20,74,24,18
13,0.88,20,74,24,6
13,0.88,20,74,24,22
13,0.88,20,74,24,7
13,0.88,20,74,24,20
13,0.88,20,74,24,8
13,0.88,20,74,24,10
13,0.88,20,74,24,16
13,0.88,20,74,24,3
13,0.88,20,74,24,29
13,0.88,20,74,24,5
13,0.88,20,74,24,17
13,0.88,20,74,24,1
13,0.88,20,74,24,27
13,0.88,20,74,24,16
13,0.88,20,74,24,12
13,0.88,20,74,24,25
13,0.88,20,74,24,13
13,0.88,20,74,24,25
13,0.88,20,74,24,9
